Portion,Recall@20,Recall@10,NDCG@5,NDCG@1
2%,56.16%,49.31%,33.60%,23.34%
5%,70.02%,63.09%,43.89%,31.46%
10%,72.76%,66.31%,47.77%,35.20%
20%,75.20%,69.10%,50.54%,38.09%
30%,75.98%,69.88%,51.01%,38.35%
50%,77.63%,72.07%,54.02%,41.18%
70%,78.28%,72.64%,54.62%,41.70%
